"Data" "n" "xmin" "alpha" "K" "W2" "U2" "A2" "avg.degree" "class" "match"
"1" 1 62 4 2.63 0.584 0.504713887673138 0.248405278660612 0.54995626354552 4.90322580645161 "Social" "yes"
"2" 2 22 4 2.94 0.352 0.446559339393673 0.111991097281244 0.575593473320707 3.90909090909091 "Biological" "yes"
"3" 3 36 4 2.58 0.352 0.752825981248711 0.499966945362439 0.876240594662335 4.33333333333333 "Biological" "yes"
"4" 4 9 2 2.62 0.776 0.797439958848555 0.899967652824891 0.894458301841148 2 "Social" "yes"
"5" 5 7 2 2.08 0.166 0.388491949337757 0.0510461096698782 0.641849171481719 2.28571428571429 "Social" "no"
"6" 6 8 2 2.23 0.162 0.497997748068881 0.130601217397298 0.732903473934553 2.75 "Social" "yes"
"7" 7 10 3 2.94 0.98 0.880003928914541 0.845628274046314 0.982774985053746 3 "Social" "yes"
"8" 8 32 3 2.78 0.692 0.859200444638837 0.970311776923591 0.8492963019334 3.4375 "Social" "yes"
"9" 9 107 2 2.2 0.228 0.439720966175718 0.187521956315007 0.531350943502419 3.48623853211009 "Social" "yes"
"10" 10 107 2 2.2 0.24 0.439720966175718 0.187521956315007 0.531350943502419 3.48623853211009 "Social" "yes"
"11" 11 735323 11 3.5 0 0 4.44032572883985e-182 0 9.58346740140047 "Informational" "yes"
"12" 12 400727 19 3.04 0.092 0.700568387421764 0.702281870937257 0.565555892491658 7.98658438288411 "Technological" "no"
"13" 13 388374 3 1.85 0 0 0 0 7.98658438288411 "Technological" "yes"
"14" 14 400727 49 3.36 0.53 0.895375625515825 0.769996656438281 0.901426833650348 15.9731687657682 "Technological" "yes"
"15" 15 410235 21 3.04 0.26 0.664344916468307 0.509638643666521 0.627469542662006 8.18266558761298 "Technological" "yes"
"16" 16 396803 2 1.61 0 0 0 0 8.18266558761298 "Technological" "yes"
"17" 17 410236 51 3.39 0.124 0.47969424598084 0.430440886033009 0.503442611096182 16.365331175226 "Technological" "yes"
"18" 18 403312 19 3.04 0.94 0.95459115414928 0.883037827999771 0.940729760212693 8.39721959176388 "Technological" "yes"
"19" 19 402439 2 1.61 0 0 0 0 8.39721959176388 "Technological" "yes"
"20" 20 403394 53 3.39 0.106 0.422629922632134 0.217846799626664 0.439227758700713 16.7944391835278 "Technological" "yes"
"21" 21 186 5 2.63 0.448 0.886131122882178 0.727487302098187 0.934776793602818 3.9247311827957 "Biological" "yes"
"22" 22 103 5 3.17 0.272 0.749530430313526 0.452258377414974 0.828247997729833 3.55339805825243 "Biological" "yes"
"23" 23 69 3 2.68 0.382 0.753474410427923 0.528137033191363 0.795819005885821 2.52173913043478 "Biological" "yes"
"24" 24 114 3 2.02 0.026 0.880776435017382 0.750933522993923 0.896068907719338 2.92982456140351 "Biological" "no"
"25" 25 40 6 2.7 0.346 0.624573880924476 0.270227449269084 0.677175607221283 5.95 "Biological" "yes"
"26" 26 1001 2 2.41 0 0.0639797492816214 0.018944459154362 0.0473181968425238 2.88911088911089 "Biological" "yes"
"27" 27 1001 2 2.41 0 0.0639797492816214 0.018944459154362 0.0473181968425238 2.88911088911089 "Biological" "yes"
"28" 28 4531 2 1.88 0 3.58224368856164e-10 6.48142074420252e-10 6.2269938990566e-09 5.11145442507173 "Biological" "yes"
"29" 29 4489 8 2.27 0 0.00840360413289748 0.0011903235815422 0.00661158921992205 5.11873468478503 "Biological" "yes"
"30" 30 7526 35 3.5 0.04 0.430381992967126 0.143844832494792 0.332856942052932 6.90087695987244 "Biological" "no"
"31" 31 7474 35 3.5 0.032 0.387248779394865 0.12374046756775 0.307738524065807 6.8961734011239 "Biological" "no"
"32" 32 435 5 3.45 0.046 0.827422088334508 0.580391328652898 0.905923296276988 2.02758620689655 "Biological" "no"
"33" 33 637 2 3.1 0 0.0736233290855785 0.014101301243694 0.0794015884369508 2.34536891679749 "Biological" "yes"
"34" 34 637 2 3.1 0 0.0736233290855785 0.014101301243694 0.0794015884369508 2.34536891679749 "Biological" "yes"
"35" 35 1118 3 1.92 0 3.29302079314764e-05 2.69028994418583e-06 2.51851224124831e-05 4.30948121645796 "Biological" "yes"
"36" 36 11699 20 2.51 0 0.0988137307735622 0.114840274790101 0.0854760550247476 8.50329087956236 "Biological" "no"
"37" 37 10394 23 2.52 0.004 0.146659773298369 0.143529131658586 0.140175225219633 8.2618818549163 "Biological" "no"
"38" 38 4925 8 3.11 0.928 0.981123385222666 0.952791465430612 0.975203259890179 3.54071065989848 "Biological" "yes"
"39" 39 7722 20 2.85 0.032 0.382969533281135 0.178050422753602 0.384403466220336 5.77466977466977 "Biological" "no"
"40" 40 1626 2 2.51 0.004 0.12878345007757 0.0684061381656558 0.100512496600552 2.8450184501845 "Biological" "yes"
"41" 41 737 4 2.49 0.084 0.289124840224413 0.160186345006354 0.311213907425623 3.30800542740841 "Biological" "no"
"42" 42 1041 2 3.05 0.002 0.106895201334059 0.0425247757109701 0.108091013609132 2.26128722382325 "Biological" "yes"
"43" 43 1150 4 2.66 0.66 0.91415302289391 0.94907666811689 0.942434034957113 2.67478260869565 "Biological" "yes"
"44" 44 5254 8 2.27 0 0.0130798240814085 0.00286815147517355 0.0101241346474882 8.23486867148839 "Biological" "yes"
"45" 45 5092 7 2.16 0 0.00310877120857028 3.03547051691873e-25 0.00119881478127182 7.66849960722702 "Biological" "yes"
"46" 46 2105 7 3.5 0.048 0.300295161333596 0.236201455906509 0.267475692104038 3.31971496437055 "Biological" "no"
"47" 47 3427 25 3.1 0.198 0.557190060509034 0.250986426278066 0.511908904156363 9.5617157864021 "Biological" "yes"
"48" 48 403 4 3.4 0.516 0.995272016133872 0.982147110674965 0.999352600209938 2.27791563275434 "Biological" "yes"
"49" 49 180 3 2.93 0.564 0.901918263613243 0.768226554740597 0.936622634750394 2.22222222222222 "Biological" "yes"
"50" 50 269 2 2.86 0.05 0.222827566081458 0.087282330799812 0.217911443491096 2.14126394052045 "Biological" "yes"
"51" 51 515 2 2.51 0.058 0.226517320766481 0.126402886896272 0.227567748177626 2.22912621359223 "Biological" "no"
"52" 52 92 2 1.78 0 0.0223266921885787 0.00561176117894754 0.0434844945026784 6.19565217391304 "Biological" "yes"
"53" 53 16227 7 2.11 0.566 0.853236529633204 0.687641883738819 0.817059370052332 2.0633147113594 "Biological" "yes"
"54" 54 921 6 2.3 0.1 0.285279167373306 0.435013968548865 0.239013234389189 4.19762845849802 "Biological" "yes"
"55" 55 921 6 2.3 0.082 0.285279167373306 0.435013968548865 0.239013234389189 57.6913860103627 "Biological" "no"
"56" 56 921 10 2.29 0.006 0.0645999967806418 0.212960088823305 0.0447420271211134 10.5154185022026 "Biological" "no"
"57" 57 16227 7 2.11 0.53 0.853236529633204 0.687641883738819 0.817059370052332 2.03248259860789 "Biological" "yes"
"58" 58 217 6 2.02 0 0.830134477573699 0.844611307762552 0.879249144067819 2.80517380759903 "Biological" "no"
"59" 59 16301 5 2.12 0.97 0.968436215516738 0.997956795274344 0.967051401139797 2.42780748663102 "Biological" "yes"
"60" 60 16301 5 2.12 0.988 0.968436215516738 0.997956795274344 0.967051401139797 3.05696202531646 "Biological" "yes"
"61" 61 16301 26 2.12 0.354 0.378607206680868 0.578636375256744 0.226611328572402 7.8956228956229 "Biological" "yes"
"62" 62 16411 6 2.13 0.732 0.786362024635591 0.71609361787178 0.851311540282631 7.8956228956229 "Biological" "yes"
"63" 63 909 5 2.25 0.054 0.342459681172115 0.0964200234120562 0.281237216184822 15.7912457912458 "Biological" "yes"
"64" 64 909 5 2.25 0.036 0.342459681172115 0.0964200234120562 0.281237216184822 10.7168458781362 "Biological" "yes"
"65" 65 909 10 2.33 0 0.0204799332720704 0.0636234630549204 0.00773670320428177 10.7168458781362 "Biological" "yes"
"66" 66 16411 6 2.13 0.728 0.786362024635591 0.71609361787178 0.851311540282631 10.7168458781362 "Biological" "yes"
"67" 67 228 6 2.14 0.912 0.805150173304707 0.976163627250666 0.841690418164131 10.7168458781362 "Biological" "yes"
"68" 68 16493 5 2.11 0.952 0.942319063355863 0.908858045852976 0.940559053126366 3.62913662414494 "Technological" "yes"
